"filename", "language", "Dart", "comment", "blank", "total"
"/Users/noppanut/Projects/netflix_clone/lib/api/api_services.dart", "Dart", 0, 0, 2, 2
"/Users/noppanut/Projects/netflix_clone/lib/common/utils.dart", "Dart", 4, 0, 2, 6
"/Users/noppanut/Projects/netflix_clone/lib/main.dart", "Dart", 37, 0, 4, 41
"/Users/noppanut/Projects/netflix_clone/lib/models/icons.dart", "Dart", 13, 0, 1, 14
"/Users/noppanut/Projects/netflix_clone/lib/models/users.dart", "Dart", 6, 27, 3, 36
"/Users/noppanut/Projects/netflix_clone/lib/providers/user_provider.dart", "Dart", 35, 5, 6, 46
"/Users/noppanut/Projects/netflix_clone/lib/screens/add_profile_screen.dart", "Dart", 232, 2, 10, 244
"/Users/noppanut/Projects/netflix_clone/lib/screens/cast_screen.dart", "Dart", 10, 0, 3, 13
"/Users/noppanut/Projects/netflix_clone/lib/screens/choose_icon_screen.dart", "Dart", 94, 2, 6, 102
"/Users/noppanut/Projects/netflix_clone/lib/screens/download_screen.dart", "Dart", 12, 0, 3, 15
"/Users/noppanut/Projects/netflix_clone/lib/screens/edit_profile_screen.dart", "Dart", 8, 0, 3, 11
"/Users/noppanut/Projects/netflix_clone/lib/screens/home_screen.dart", "Dart", 103, 5, 11, 119
"/Users/noppanut/Projects/netflix_clone/lib/screens/my_netflix_screen.dart", "Dart", 10, 0, 3, 13
"/Users/noppanut/Projects/netflix_clone/lib/screens/new_and_hot_screen.dart", "Dart", 29, 0, 4, 33
"/Users/noppanut/Projects/netflix_clone/lib/screens/pick_user_screen.dart", "Dart", 67, 1, 3, 71
"/Users/noppanut/Projects/netflix_clone/lib/screens/search_screen.dart", "Dart", 16, 0, 3, 19
"/Users/noppanut/Projects/netflix_clone/lib/screens/splash_screen.dart", "Dart", 29, 0, 5, 34
"/Users/noppanut/Projects/netflix_clone/lib/widgets/banner_widget.dart", "Dart", 109, 2, 3, 114
"/Users/noppanut/Projects/netflix_clone/lib/widgets/bottom_navbar.dart", "Dart", 53, 0, 3, 56
"/Users/noppanut/Projects/netflix_clone/lib/widgets/category_widget.dart", "Dart", 25, 0, 3, 28
"/Users/noppanut/Projects/netflix_clone/lib/widgets/custom_arrow_back.dart", "Dart", 31, 0, 3, 34
"/Users/noppanut/Projects/netflix_clone/lib/widgets/netflix_appbar.dart", "Dart", 0, 1, 1, 2
"/Users/noppanut/Projects/netflix_clone/lib/widgets/netflix_appbar_widget.dart", "Dart", 135, 3, 6, 144
"/Users/noppanut/Projects/netflix_clone/lib/widgets/user_profile.dart", "Dart", 95, 0, 3, 98
"Total", "-", 1153, 48, 94, 1295
